# AcquisitionDate	AcquisitionTime	PercentUniformityIntegral	GhostingRatio	GhostingRatioSlice5	GhostingRatioSlice5STD	SlicePositionAccuracySlice1	SlicePositionAccuracySlice11	DiameterXSlice1	DiameterXSlice5	DiameterYSlice1	DiameterYSlice5	DiameterDiag1Slice1	DiameterDiag1Slice5	DiameterDiag2Slice1	DiameterDiag2Slice5	SliceThickness	UL1Score	LR1Score	UL2Score	LR2Score	UL3Score	LR3Score	SNR
2015-01-07	17:24:06.0000000	90.291338197051	0.00108040949155839	0.000112085195413286	0.810707347009895	-0.977	-4.885	18.8561	18.9538	19.1492	19.0515	18.9291071110076	18.9291071110076	18.9291071110076	18.9291071110076	4.38781555555556	4	4	4	4	1	2	131.518333667406
2015-01-07	17:52:34.0000000	89.6022364659042	0.0062566754373252	0.00583111628270686	14.4592472560823	0	-2.931	18.9538	18.9538	19.0515	19.1492	18.9291071110076	18.9291071110076	18.9291071110076	18.9291071110076	4.83170909090909	4	4	4	3	1	1	352.214513607152
2015-01-08	18:26:57.0000000	91.2587163389783	0.000841621397356505	6.58702252742478E-06	0.291348545611214	0	-4.885	18.8561	18.9538	19.1492	19.0515	18.9291071110076	18.9291071110076	19.0672757760515	18.9291071110076	4.7339175257732	4	4	4	4	1	2	142.576178494855
2015-01-08	17:56:24.0000000	89.0769265191258	0.000396743836877206	0.000156428643913396	1.44991017297434	1.954	-6.839	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	18.9291071110076	19.0672757760515	4.52991827956989	4	4	4	4	1	1	141.33619289383
2015-01-08	18:52:04.0000000	93.3868236835344	0.000137305082333849	0.000726706379579182	1.06660396536077	-2.931	-3.908	18.8561	18.9538	19.0515	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	4.68145833333333	4	4	4	2	1	1	139.526623527196
2015-01-09	10:21:53.0000000	90.5764102333596	0.00123648517275943	0.000934610463661449	2.60210293284598	-1.954	-2.931	18.9538	18.9538	19.1492	19.1492	18.9291071110076	19.0672757760515	19.0672757760515	18.9291071110076	4.883046	4	4	4	3	2	1	336.691318422666
2015-01-10	11:23:13.0000000	91.2261315783258	0.00321635797868094	0.00171430126556464	5.94256617140866	-1.954	-3.908	18.9538	18.9538	19.0515	19.0515	18.9291071110076	18.9291071110076	18.9291071110076	19.0672757760515	4.883046	4	4	4	4	2	1	341.558507880323
2015-01-10	10:59:42.0000000	89.3678145039044	0.000217200353108685	0.000411067757008973	2.23419142282568	0	-5.862	18.9538	18.9538	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	4.77932448979592	4	4	4	4	1	2	401.469307946375
2015-01-12	16:29:32.0000000	89.302134324826	0.00073719158791974	0.000997730896225936	2.16863077877855	-0.977	-3.908	18.9538	18.9538	19.1492	19.1492	18.9291071110076	18.9291071110076	19.0672757760515	19.0672757760515	4.883046	4	4	4	4	2	1	338.492635695941
2015-01-12	09:22:25.0000000	90.1964656300948	0.000634563737344482	0.000663137645726456	1.85875441156463	-2.931	-3.908	18.9538	18.9538	19.1492	19.1492	18.9291071110076	19.0672757760515	19.0672757760515	18.9291071110076	4.7873	4	4	4	3	2	1	349.982392323746
2015-01-13	12:21:24.0000000	90.6109381779319	0.00139892548646828	0.000874885321074988	2.03919486814017	0.977	-1.954	18.9538	18.9538	19.1492	19.0515	18.9291071110076	19.0672757760515	19.0672757760515	18.9291071110076	5.27399074074074	4	4	4	2	1	1	398.881549667684
2015-01-13	07:18:44.0000000	91.8848305083994	0.000725721107349656	0.000265799088129846	1.21338009412817	0	-0.977	18.9538	18.9538	19.1492	19.1492	19.0672757760515	18.9291071110076	18.9291071110076	19.0672757760515	5.27399074074074	4	4	4	3	2	1	332.240141497911
